Structure	Sample ID	EPK_PI3Kd / IC50 [µM]_Q	EPK_PI3Kd / IC50 [µM]	EPK_PI3Ka / IC50 [µM]_Q	EPK_PI3Ka / IC50 [µM]	EPK_PI3Kb / IC50 [µM]_Q	EPK_PI3Kb / IC50 [µM]	EPK_PI3Kg / IC50 [µM]_Q	EPK_PI3Kg / IC50 [µM]	Cells PI3Kd / IC50 [nM]_Q	Cells PI3Kd / IC50 [nM]	Cells PI3Ka / IC50 [nM]_Q	Cells PI3Ka / IC50 [nM]	Cells PI3Kb / IC50 [nM]_Q	Cells PI3Kb / IC50 [nM]	mCD86test / IC50 CD86 [nmol l-1]_Q	mCD86test / IC50 CD86 [nmol l-1]	BM Prolif. / IC50 [nmol l-1]_Q	BM Prolif. / IC50 [nmol l-1]	HT-logPo/w / logP o/w_Q	HT-logPo/w / logP o/w	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]_Q	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]	HT-perm / logPe pH6.8_Q	HT-perm / logPe pH6.8	HT-Eq Sol / pH 6.8 (g/l)_Q	HT-Eq Sol / pH 6.8 (g/l)	HT-pKa / pKa1_Q	HT-pKa / pKa1	HT-pKa / pKa2_Q	HT-pKa / pKa2	HT-pKa / pKa3_Q	HT-pKa / pKa3
C4(C2C=C1C(N=CC=N1)=CC=2)C=C3C(=NC=NC3=CC=4)C5=CC(=CC=C5)C(N6CCN(CC6)C(=O)C)=O	NVP-BYM504-NX-1		0.022		0.167		5.238		1.449												2.6		66.3		-5.7		0.015						
C4(C2C=C1C(N=CC=C1)=CC=2)C=C3C(=NC=NC3=CC=4)C5=CC(=CC=C5)C(N6CCN(CC6)C(=O)C)=O	NVP-BYM523-AI-1		0.054		0.9	>	9.1		2.416		1582		4997	>	10000						2.4		71.2		-5.3	>	0.602		4.2				
C4(=CC=C1C(C(=NC=N1)C3=CC(C(N2CCN(CC2)C(=O)C)=O)=CC=C3)=C4)C5=CN=C(C=C5C(F)(F)F)N	NVP-BYM544-AI-1		0.168		3.742	>	9.1		7.887												2.6		61.7		-6.6	>	0.635		4.0				
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)C(=O)C)=O)=CC=C4)C5=CN(N=C5)C6CCNCC6	NVP-BYN006-AI-1		0.852		6.012	>	9.1	>	9.1											>	-0.1		5.8		-8.0	>	0.624						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)C(=O)C)=O)=CC=C4)C5=CN(N=C5)CC6=CC=CC=C6	NVP-BYN010-NX-1		0.12		3.95	>	9.1		7.728												2.9		71.4		-5.6		0.109						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CC(CC3)NC(=O)C)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYN033-NX-1		0.024		0.058		0.864		0.318												2.3		57.8		-7.4	>	0.497						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)C(C)C)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYN034-AI-1		0.022		0.106		1.835		0.568												3.7		85.6		-3.7	>	0.611						
C2(C=C1C(=NC=NC1=CC=2)C5=CC(C(N3CCN(CC3)C4=CC=CC=C4)=O)=CC=C5)C6C=CC(=C(OC)C=6)OC	NVP-BYN035-AI-1		0.042		0.13		5.31		1.25												4.7		86.2		-4.2	<	0.0030						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCN(CC3)CCO)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYN036-AI-1		0.018		0.103		1.211		0.607											>	2.8		61.4		-5.4	>	0.613						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CC(NC(C3)C)C)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYN038-AI-1		0.005		0.044		1.963		0.76												2.6		65.6		-4.4	>	0.597						
